sa4_name,sa4_id
Riverina,0
Sydney - Baulkham Hills and Hawkesbury,1
Launceston and North East,2
New England and North West,3
Toowoomba,4
Barossa - Yorke - Mid North,5
Darling Downs - Maranoa,6
Hobart,7
South Australia - South East,9
Sydney - Outer West and Blue Mountains,10
Capital Region,11
Cairns,13
Illawarra,14
Hunter Valley exc Newcastle,16
Wide Bay,17
Central West,18
Sydney - Inner South West,19
Murray,20
Mid North Coast,25
Mackay - Isaac - Whitsunday,26
Logan - Beaudesert,30
Far West and Orana,35
South Australia - Outback,37
Queensland - Outback,44
Central Coast,47
Newcastle and Lake Macquarie,54
Central Queensland,55
Sydney - Blacktown,56
Sydney - South West,63
Sydney - Parramatta,64
Moreton Bay - North,67
Richmond - Tweed,68
Melbourne - Inner,73
Brisbane - South,74
Adelaide - North,84
Melbourne - North West,89
Warrnambool and South West,90
Melbourne - South East,91
Latrobe - Gippsland,92
Melbourne - North East,97
Ipswich,104
Adelaide - West,112
Gold Coast,115
Australian Capital Territory,116
Mornington Peninsula,117
Brisbane Inner City,129
Moreton Bay - South,136
Sydney - North Sydney and Hornsby,138
Bendigo,141
North West,152
Sydney - Outer South West,165
Sunshine Coast,170
Hume,181
Townsville,196
Adelaide - Central and Hills,207
Sydney - City and Inner South,224
Melbourne - Inner East,231
Brisbane - East,232
Melbourne - Outer East,240
Geelong,243
Adelaide - South,252
Coffs Harbour - Grafton,253
Shepparton,267
South East,271
Ballarat,280
Southern Highlands and Shoalhaven,281
Melbourne - West,298
Sydney - Northern Beaches,321
West and North West,356
Melbourne - Inner South,380
Northern Territory - Outback,407
Darwin,423
Brisbane - North,460
Sydney - Inner West,501
Sydney - Sutherland,578
Sydney - Eastern Suburbs,662
Sydney - Ryde,669
Brisbane - West,857
Western Australia - Wheat Belt,2942
Perth - South West,2972
Mandurah,2998
Western Australia - Outback (North),3000
Perth - North West,3015
Perth - Inner,3017
Perth - South East,3049
Western Australia - Outback (South),3118
Bunbury,3123
Perth - North East,3134
